opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
3,4,4,2,64,17,0.14
3,2,16,8,1,26,0.26
3,4,32,256,32,30,0.38
2,1,2,256,2,9,0.34
2,1,16,32,8,12,0.76
2,2,128,256,256,11,0.47
1,3,32,1,16,32,0.86
2,4,4,128,2,25,0.93
1,4,2,1,1,3,0.26
2,1,4,128,8,21,0.79
2,3,2,4,1,18,0.29
1,2,256,128,32,6,0.39
2,4,1,128,32,7,0.88
3,4,128,8,2,29,0.16
2,4,1,16,32,6,0.74
1,2,128,32,1,13,0.62
1,4,128,16,4,8,0.77
2,2,2,64,64,3,0.42
2,4,32,4,16,14,0.52
3,1,4,32,1,18,0.22
1,2,256,32,8,11,0.73
1,4,16,16,64,16,0.34
3,4,2,1,16,11,0.31
1,2,4,64,2,32,0.94
2,4,2,16,128,4,0.39
3,1,16,8,256,2,0.34
2,3,32,8,2,21,0.33
1,1,4,16,16,8,0.92
3,4,2,1,1,29,0.34
3,2,1,4,4,21,0.59
2,2,16,32,8,28,0.53
2,1,1,256,32,17,0.08
3,2,64,32,8,12,0.24
1,3,8,2,256,18,0.47
1,2,4,64,1,13,0.93
2,1,4,32,8,6,0.43
1,4,128,32,128,19,0.64
3,2,64,4,256,16,0.52
3,3,1,1,128,6,0.45
2,4,4,128,8,14,0.07
2,1,2,32,64,7,0.71
1,3,64,128,256,17,0.23
1,2,16,1,32,23,0.88
2,1,256,256,1,23,0.72
2,4,1,256,4,13,0.12
2,4,256,256,1,5,0.1
2,3,16,4,32,16,0.19
2,3,128,4,32,10,0.19
1,3,8,64,2,13,0.65
1,4,32,1,64,32,0.45
3,3,16,128,1,30,0.41
2,4,16,32,32,31,0.4
1,4,2,4,16,31,0.74
3,3,2,32,4,28,0.61
3,1,128,32,1,25,0.71
2,3,4,16,1,16,0.65
1,4,16,256,8,19,0.65
1,1,64,128,32,17,0.79
1,3,1,256,4,25,0.04
1,3,4,1,2,22,0.44
2,4,8,1,256,27,0.98
2,4,8,128,8,21,0.66
3,1,16,1,4,22,0.43
3,1,2,16,32,21,0.48
3,1,64,1,4,21,0.21
3,1,32,2,8,7,0.48
2,2,64,1,64,22,0.01
1,2,1,8,1,13,0.76
1,1,64,256,4,25,0.98
1,4,1,16,32,12,0.37
2,3,8,64,256,13,0.89
3,3,256,32,4,25,0.03
3,3,2,256,4,31,0.38
2,3,128,256,64,19,0.16
2,3,4,128,8,6,0.05
3,4,32,64,4,18,0.1
2,4,1,32,256,20,0.27
3,2,2,256,2,29,0.56
3,2,32,128,4,8,0.94
3,1,128,16,256,4,0.61
