opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
1,3,8,128,32,12,0.07
3,3,256,256,128,14,0.59
1,4,32,2,128,21,0.06
3,3,1,1,64,26,0.54
2,3,2,2,64,11,0.43
1,1,4,128,256,8,0.6
1,4,4,64,4,11,0.18
1,2,4,32,64,22,0.77
3,2,4,128,128,23,0.03
2,1,2,4,256,3,0.42
1,1,2,256,64,12,0.4
2,1,4,32,64,23,0.26
2,3,64,128,1,29,0.57
3,1,8,256,4,31,0.17
1,4,16,2,2,18,0.27
2,4,1,16,32,4,0.1
3,2,1,1,16,20,0.2
2,1,4,256,4,4,0.55
1,1,8,32,1,18,0.71
2,1,16,8,4,10,0.92
3,3,32,64,4,16,0.17
1,3,32,64,64,30,0.3
3,2,256,8,64,4,0.83
1,4,128,2,128,28,0.1
3,1,32,2,256,28,0.01
1,4,64,2,8,32,0.15
2,4,64,32,32,17,0.26
1,2,1,1,16,32,0.83
2,1,2,32,256,6,0.45
1,1,4,16,32,28,0.41
3,1,32,2,32,32,0.01
2,3,16,256,256,8,0.07
2,4,32,8,8,27,0.28
3,1,1,2,256,25,0.38
3,2,128,128,1,19,0.06
1,2,128,2,128,31,0.59
2,3,64,256,16,20,0.26
3,2,32,8,4,8,0.73
2,4,128,4,8,22,0.5
2,4,1,2,256,7,0.46
3,4,4,64,4,18,0.5
3,1,1,32,16,18,0.75
3,3,2,2,64,4,0.75
1,2,128,1,2,31,0.32
3,3,16,1,64,13,0.3
1,4,64,256,256,15,0.62
3,3,256,2,256,25,1.0
1,4,64,16,128,13,0.55
1,1,64,128,256,2,0.59
1,1,4,64,8,23,0.01
1,2,8,32,4,18,0.05
1,1,4,8,16,11,0.99
3,1,128,64,64,9,0.53
3,4,16,32,64,14,0.21
2,4,1,1,4,15,0.04
1,3,256,2,8,14,0.77
2,4,16,1,64,4,0.5
3,4,64,1,256,10,0.92
3,4,1,64,8,7,0.07
2,3,4,4,64,12,0.89
1,4,32,32,2,9,0.74
1,2,32,16,256,8,0.29
2,3,2,32,2,14,0.31
3,1,256,16,64,24,0.6
3,1,16,8,2,17,0.35
3,3,2,1,16,26,0.28
1,1,128,32,2,3,0.09
1,1,128,8,8,28,0.38
2,1,128,16,32,13,0.92
2,3,128,128,1,32,0.33
1,4,256,8,1,10,0.67
3,3,32,4,16,24,0.83
3,2,2,4,8,11,0.59
2,2,16,1,16,31,0.73
2,1,32,2,8,5,0.01
3,1,16,4,8,13,0.1
3,4,64,1,256,7,0.06
3,1,1,1,16,30,0.45
1,1,4,1,64,27,0.93
1,3,256,32,4,4,0.25
