opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
2,2,8,1,32,29,0.33
1,1,64,4,256,15,0.57
1,2,4,16,1,26,0.06
3,1,2,2,64,21,0.08
2,2,1,64,8,5,0.53
2,2,8,16,2,12,0.72
1,2,128,4,8,32,0.96
1,1,4,64,4,7,0.84
2,1,256,2,2,4,0.87
3,2,16,4,2,11,0.18
3,2,1,64,8,24,0.57
3,2,16,64,4,20,0.63
1,4,256,32,4,30,0.35
1,4,4,128,2,17,0.23
2,3,8,256,2,31,0.21
3,4,32,32,64,13,0.33
2,3,8,2,64,11,0.67
1,2,128,16,16,10,0.93
1,2,4,128,2,26,0.75
1,1,128,1,2,8,0.06
1,3,64,1,256,8,0.1
2,4,256,32,2,24,0.25
2,3,64,64,256,7,0.94
3,2,16,32,8,30,0.69
3,2,2,256,2,12,0.4
3,4,128,256,1,21,0.76
3,3,16,1,16,12,0.62
3,4,16,64,16,25,0.9
3,4,1,64,16,20,0.56
3,4,32,8,4,13,0.54
2,2,16,32,8,14,0.84
2,2,128,4,128,2,0.86
1,3,16,8,256,6,0.78
1,4,2,128,4,32,0.82
2,3,4,64,32,24,0.48
2,3,128,1,32,26,0.48
3,1,16,128,4,8,0.08
2,1,32,4,16,31,0.17
2,1,1,8,2,3,0.05
2,4,8,128,256,3,0.73
2,2,2,16,128,25,0.46
3,1,128,2,128,13,0.75
2,1,256,64,4,12,0.89
2,4,32,4,8,27,0.45
3,2,4,2,4,27,0.6
1,1,64,4,128,23,0.11
3,1,4,4,2,13,0.86
2,2,256,16,4,6,0.58
1,1,256,16,2,24,0.61
3,2,16,64,2,29,0.8
1,4,4,8,32,1,0.16
2,1,128,32,1,21,0.35
3,1,32,4,1,6,0.26
3,3,16,64,8,20,0.35
3,1,256,16,256,17,0.56
1,1,32,8,128,11,0.91
1,1,128,32,1,14,0.24
1,2,1,256,8,22,0.74
1,3,32,4,2,15,0.82
3,2,4,4,4,6,0.43
2,1,32,8,128,17,0.49
3,3,16,256,4,25,0.75
1,2,2,256,4,26,0.31
1,1,32,32,256,27,0.66
1,3,8,32,16,25,0.35
2,2,32,16,1,20,0.82
3,2,1,8,128,20,0.05
2,1,128,2,256,26,0.16
2,3,16,16,1,10,0.21
1,4,256,16,2,23,0.22
1,2,2,64,1,30,0.27
3,3,8,128,4,7,0.04
1,1,128,4,32,1,0.72
3,2,64,256,4,24,0.86
3,2,128,2,4,32,0.27
2,2,2,128,1,22,0.18
1,2,1,1,32,29,0.55
2,1,32,1,64,29,0.7
3,4,128,8,8,14,0.65
3,3,8,16,2,29,0.77
