opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
3,3,128,2,128,32,0.51
2,1,64,256,256,3,0.49
2,1,256,64,1,12,0.28
3,2,64,8,64,8,0.6
1,4,128,256,16,5,0.59
2,1,1,8,128,14,0.03
1,3,16,256,2,15,0.01
3,1,8,16,16,8,0.74
1,4,2,256,8,18,0.55
3,2,16,16,128,9,0.39
1,1,1,2,64,4,0.32
1,2,256,8,8,3,0.95
1,1,16,16,256,5,0.06
3,3,4,1,256,21,0.49
2,4,128,16,2,30,0.62
1,3,2,64,256,6,0.83
3,4,256,8,64,6,0.78
2,4,256,8,256,25,0.97
2,3,256,2,16,7,0.47
2,2,256,8,128,24,0.2
1,1,16,256,1,3,0.29
3,3,128,1,1,5,0.99
1,3,16,8,128,2,0.58
3,1,8,256,1,21,0.54
2,2,32,128,128,22,0.81
3,2,64,1,1,8,0.57
2,2,16,1,16,30,0.21
3,1,64,8,64,1,0.84
3,3,256,4,16,5,0.92
3,4,64,32,2,30,0.3
1,1,32,16,4,22,0.8
2,3,2,1,2,21,0.29
1,3,32,16,64,30,0.5
3,3,128,8,64,9,0.62
2,3,2,1,64,1,0.8
3,2,1,2,4,15,0.9
1,2,16,128,32,17,0.03
2,3,8,256,1,7,0.84
2,1,4,8,16,10,0.41
3,2,8,256,4,29,0.22
3,1,16,4,64,8,0.48
3,2,2,2,128,7,0.19
2,4,4,64,1,19,0.8
2,2,4,32,1,17,0.78
2,3,64,256,2,30,0.2
3,3,2,16,8,29,0.58
3,2,256,64,1,16,0.24
1,2,32,128,64,5,0.4
3,2,2,64,4,18,0.88
2,1,4,32,128,5,0.44
3,1,64,4,8,28,0.91
3,2,1,2,4,31,0.54
3,2,32,64,1,15,0.72
2,3,2,64,1,23,0.6
2,3,256,1,2,3,0.96
2,1,4,4,256,12,0.53
1,2,8,4,256,11,0.71
3,2,128,1,128,6,0.49
1,2,64,256,16,12,0.24
2,1,32,64,1,8,0.0
3,2,256,64,64,16,1.0
1,4,1,2,1,2,0.88
1,3,64,1,64,26,0.58
1,1,16,8,4,8,0.88
1,4,32,16,128,16,0.63
1,3,1,8,128,17,0.14
1,4,128,256,4,31,0.17
2,3,32,8,16,22,0.19
3,1,256,1,8,5,0.81
3,3,256,4,32,13,0.04
3,1,64,64,64,8,0.18
3,3,4,16,32,31,0.18
1,4,16,128,32,10,0.01
3,2,256,2,1,8,0.75
1,2,16,32,64,6,0.37
3,3,128,256,64,4,0.2
2,4,1,2,2,29,0.18
2,3,16,4,64,2,0.61
1,2,32,256,16,4,0.45
2,3,64,2,128,30,0.12
