opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
2,2,1,4,2,28,0.33
1,1,2,64,1,15,0.61
3,2,1,16,1,30,0.45
3,3,1,256,4,14,0.12
2,2,128,64,256,22,0.41
2,3,4,32,8,28,0.11
1,2,64,2,8,19,0.23
2,4,128,128,2,31,0.21
3,1,128,64,32,20,0.32
1,4,64,64,4,13,0.19
1,4,1,128,128,32,0.37
2,2,16,256,32,18,0.72
2,1,32,8,4,22,0.16
3,1,2,128,64,32,0.3
3,1,2,1,1,8,0.33
1,4,128,8,4,28,0.05
2,4,128,64,1,21,0.83
3,3,128,128,256,29,0.62
2,4,128,64,4,26,0.75
2,2,16,1,256,26,0.71
3,1,8,2,128,31,0.24
3,2,32,1,2,4,0.05
2,3,4,128,16,10,0.22
2,4,256,1,64,15,0.07
3,3,4,1,64,8,0.43
2,3,4,1,128,13,0.79
2,3,2,2,4,31,0.29
1,4,32,16,128,8,0.09
2,2,64,32,4,31,0.53
3,2,1,2,4,9,0.32
2,4,128,32,64,2,0.15
3,4,256,32,8,18,0.25
1,3,1,2,128,29,0.66
2,4,8,4,256,31,0.4
1,1,32,1,1,3,0.36
3,1,128,1,4,13,0.4
3,4,128,8,2,22,0.71
3,1,1,256,4,7,0.23
3,1,64,8,2,1,0.03
1,1,128,32,256,17,0.05
1,4,8,64,1,3,0.24
2,1,16,8,4,32,0.63
3,2,256,8,64,1,0.05
1,2,2,32,2,14,0.99
1,4,4,32,256,24,0.24
1,2,64,2,4,11,0.03
2,2,8,64,16,9,0.02
3,2,256,2,2,6,1.0
2,2,32,64,32,17,0.7
2,3,32,1,2,18,0.78
2,1,32,256,1,24,0.09
3,3,2,64,8,8,0.52
3,3,8,4,64,19,0.45
3,4,1,2,4,21,0.26
3,1,1,64,64,7,0.74
3,3,128,2,1,9,0.46
1,1,1,16,64,10,0.41
3,2,2,2,1,9,0.72
2,4,16,32,64,13,0.92
3,2,128,32,32,17,0.49
2,4,1,8,64,2,0.54
3,4,2,32,256,18,0.36
3,4,32,16,256,22,0.27
1,1,2,1,32,2,0.57
3,2,1,64,4,18,0.24
2,4,128,16,1,13,0.76
1,4,32,4,16,28,0.68
2,1,2,4,2,3,0.67
3,3,2,8,128,16,0.08
2,2,64,8,4,18,0.76
3,4,64,64,64,25,0.48
3,3,2,128,16,21,0.16
2,4,256,32,64,13,0.21
2,2,32,4,1,26,0.23
3,1,2,4,256,22,0.38
2,2,256,1,64,20,0.42
1,4,4,64,8,25,0.88
1,2,4,32,32,27,0.07
2,2,4,256,4,20,0.47
1,3,2,64,8,3,0.73
