opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
3,1,32,64,32,9,0.62
1,3,16,2,4,3,0.96
2,4,4,16,128,19,0.13
3,1,256,128,128,24,0.41
3,4,2,128,128,13,0.58
3,1,32,64,2,19,0.4
2,2,256,32,4,21,0.3
2,3,128,64,8,23,0.65
3,3,256,1,64,25,0.84
1,3,4,2,2,3,0.02
1,3,2,32,16,31,0.0
1,4,1,256,16,17,0.53
3,3,64,128,8,14,0.26
2,1,64,32,256,26,0.58
1,4,64,64,1,13,0.61
2,2,8,256,1,13,0.94
3,4,16,128,256,27,0.04
2,2,8,4,8,8,0.19
1,2,64,8,64,22,0.97
2,1,64,4,128,8,0.73
2,1,4,2,16,18,0.08
3,4,16,256,128,5,0.36
3,2,8,64,64,1,0.44
1,4,16,64,8,8,0.97
2,3,128,128,4,32,0.81
3,4,1,8,8,10,0.74
3,4,64,4,256,28,0.76
2,1,1,4,1,15,0.28
1,1,8,4,64,28,0.86
2,1,8,4,1,20,0.75
2,2,64,16,1,23,0.4
3,3,8,16,8,2,0.91
3,4,128,2,1,18,0.8
3,4,64,64,16,26,0.34
2,3,256,8,1,8,0.11
1,2,8,1,32,23,0.09
1,1,64,16,64,15,0.29
2,3,1,2,32,25,0.91
2,2,16,2,128,29,0.5
2,1,256,32,256,9,0.48
3,4,128,8,1,27,0.09
2,4,32,128,128,2,0.43
3,1,256,32,1,29,0.59
1,2,16,64,64,19,0.49
1,3,32,64,256,21,0.18
1,2,256,256,256,25,0.65
3,1,1,256,64,1,0.85
2,1,8,4,128,17,0.05
3,1,64,64,128,11,0.99
2,4,256,1,2,1,0.44
2,4,4,8,4,19,0.12
3,2,4,8,64,8,0.18
2,1,32,8,32,21,0.96
1,2,8,32,64,5,0.09
2,1,4,2,2,24,0.44
1,2,64,64,128,17,0.69
3,2,1,4,2,15,0.75
3,4,8,8,32,31,0.49
3,4,1,16,64,19,0.27
1,2,64,64,32,1,0.14
3,1,1,16,4,3,0.1
2,2,256,16,1,15,0.08
3,4,128,4,256,1,0.11
3,1,64,2,64,17,0.66
2,2,256,2,4,22,0.02
3,2,2,32,2,29,0.24
2,3,16,32,1,22,0.49
3,4,4,16,32,26,0.87
3,2,4,16,32,4,0.75
3,4,64,64,16,30,0.5
1,3,2,2,256,3,0.23
2,4,32,2,16,13,0.33
1,2,16,128,16,21,0.38
2,1,4,4,8,5,0.32
1,1,2,4,4,16,0.66
3,2,8,32,64,4,0.73
2,3,16,16,256,29,0.72
1,1,16,16,128,4,0.5
1,4,16,64,2,23,0.77
2,1,256,32,32,28,0.05
