opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
2,1,2,128,1,3,0.42
1,4,2,16,16,12,0.51
1,2,16,2,32,1,0.38
2,4,128,1,1,26,0.72
1,3,8,1,32,19,0.51
1,1,128,8,1,32,0.86
3,3,4,256,16,31,0.0
3,1,4,4,64,15,0.58
3,1,128,64,128,29,0.79
1,1,16,16,16,14,0.19
3,1,32,256,128,12,0.37
3,1,2,16,256,18,0.32
3,1,256,256,4,30,0.7
3,1,128,64,2,4,0.56
1,2,16,64,256,19,0.12
2,1,64,256,64,27,0.64
1,3,1,256,128,8,0.7
1,3,64,4,32,7,0.88
3,4,128,4,2,30,0.94
2,2,4,256,64,22,0.86
3,1,128,32,2,22,0.46
3,2,256,16,1,32,0.89
1,2,1,64,4,29,0.15
2,3,128,128,256,6,0.31
1,2,256,2,16,2,0.38
1,2,128,1,1,32,0.62
3,3,2,4,128,10,0.32
3,4,2,64,128,10,0.2
2,2,64,2,16,25,0.95
2,4,4,2,128,4,0.08
3,4,256,256,256,1,0.06
3,2,256,8,32,29,0.69
1,4,128,32,32,16,0.62
2,3,1,256,4,30,0.84
2,3,32,1,8,10,0.08
2,1,16,32,2,28,0.7
2,4,32,64,8,11,0.01
3,3,64,128,64,8,0.9
3,4,32,8,32,19,0.99
2,1,128,256,1,22,0.66
1,4,2,256,2,2,0.58
3,2,64,32,8,26,0.81
1,2,16,4,16,2,0.87
1,4,32,2,128,10,0.46
1,2,8,4,256,9,0.33
1,1,128,32,4,13,0.79
3,2,8,16,4,20,0.52
3,2,16,128,4,24,0.32
1,4,2,16,64,1,0.39
3,3,32,32,1,18,0.41
3,2,32,8,256,2,0.92
3,4,128,4,16,11,0.52
1,1,4,1,64,26,0.43
1,3,8,2,8,16,0.09
3,4,8,2,128,22,0.94
3,2,2,128,2,5,0.69
1,4,128,64,2,17,1.0
3,2,1,16,4,15,0.72
2,2,16,8,128,26,0.11
2,2,256,8,1,3,0.27
3,3,128,8,128,20,0.54
2,2,1,2,2,16,0.4
3,4,64,128,64,13,0.55
1,1,4,8,64,32,0.87
3,4,128,8,1,27,0.15
2,4,16,64,4,24,0.18
1,3,2,16,128,26,0.32
1,2,256,64,4,20,0.66
2,1,1,1,1,3,0.62
3,4,8,16,128,13,0.81
1,1,64,32,1,2,0.9
3,1,8,8,2,24,0.47
3,4,16,64,1,26,0.45
1,3,2,8,1,28,0.0
3,3,64,16,256,26,0.36
2,2,8,8,16,12,0.99
1,2,256,32,8,13,0.22
1,3,64,2,1,6,0.91
1,2,32,128,1,25,0.45
1,1,4,256,8,13,0.36
