opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
1,3,256,16,64,11,0.49
3,3,32,64,16,19,0.6
3,3,32,2,128,9,0.03
3,3,16,16,256,29,0.42
1,1,32,1,32,8,0.47
3,3,16,16,128,18,0.56
3,1,256,128,64,13,0.62
1,4,256,8,32,10,0.57
3,4,1,4,1,12,0.8
3,2,256,2,8,26,0.57
3,1,128,4,16,6,0.19
1,2,32,1,128,15,0.38
1,1,128,256,8,25,0.74
2,4,2,32,32,10,0.94
3,3,8,256,256,3,0.45
2,2,128,32,32,12,0.22
2,1,1,1,128,27,0.72
1,1,2,64,64,10,0.92
3,1,16,16,1,11,0.09
1,2,256,4,32,7,0.28
3,3,2,64,128,23,0.38
3,4,32,16,32,27,0.59
3,4,4,8,64,27,0.93
1,2,64,128,32,8,0.3
3,1,32,256,8,12,0.96
2,1,4,32,64,5,0.71
1,3,1,4,8,21,0.62
3,4,256,256,256,12,0.75
2,4,128,4,8,17,0.47
2,4,16,32,256,7,0.71
3,4,2,1,16,30,0.03
2,4,16,64,1,3,0.53
2,4,256,32,32,29,0.09
3,4,16,16,32,20,0.7
2,4,16,2,128,14,0.13
3,1,1,128,1,20,0.04
2,3,128,16,16,4,0.29
2,4,16,2,16,6,0.72
2,2,128,128,128,24,0.24
1,1,32,256,64,3,0.88
3,1,128,8,4,9,0.49
3,3,32,8,2,12,0.12
2,4,8,32,1,2,0.46
1,3,8,2,2,25,0.41
3,3,2,4,4,8,0.83
2,1,64,256,2,15,0.01
1,1,256,1,256,29,0.67
1,4,32,1,16,6,0.32
2,1,256,2,16,29,0.92
2,2,4,16,4,6,0.06
1,1,8,128,256,32,0.68
2,2,4,8,16,9,0.23
1,1,16,256,2,22,0.35
3,4,32,16,2,16,0.4
3,4,256,1,16,9,0.51
2,2,8,8,256,12,0.02
1,4,8,32,128,2,0.36
3,4,2,32,128,30,0.07
3,1,256,256,256,7,0.24
2,1,256,256,256,24,0.7
1,4,256,2,64,10,0.37
1,1,128,64,8,27,0.23
1,4,128,16,16,15,0.22
3,3,16,2,256,7,0.15
3,4,256,4,8,23,0.24
2,1,32,16,64,12,0.55
2,3,4,4,64,11,0.97
2,2,16,2,2,32,0.84
2,1,4,4,128,5,0.49
3,4,128,1,128,6,0.63
3,2,32,16,16,32,0.98
1,4,32,32,16,18,0.37
2,2,8,256,8,32,0.58
2,3,16,2,1,12,0.28
3,2,256,8,256,26,0.22
3,1,4,64,4,13,0.14
1,1,2,32,128,15,0.17
2,4,32,64,16,18,0.41
3,2,8,2,4,17,0.12
1,2,64,64,64,24,0.33
